Model,Accuracy,F1 Micro,F1 Macro,Precision,Recall,Hamming Loss
Generic Baseline,0.0,0.2544212708866935,0.1935000320129377,0.1541986989946777,0.7268292682926829,0.6113
Legal-BERT,0.237,0.45201793721973094,0.2725141289645455,0.6339622641509434,0.35121951219512193,0.1222
Fine-Tuned,0.609,0.8034188034188035,0.732243517652388,0.8606687898089171,0.7533101045296168,0.0529
